,datetime,date,blackouts,year,month,day_of_week,time,week,stage,blackout
0,2015-01-09 11:47:19,2015-01-09,1,2015,1,9,11:47:19,2,1,1
1,2015-01-10 11:47:19,2015-01-10,0,2015,1,10,11:47:19,2,0,0
2,2015-01-11 11:47:19,2015-01-11,0,2015,1,11,11:47:19,2,0,0
3,2015-01-12 11:47:19,2015-01-12,0,2015,1,12,11:47:19,3,0,0
4,2015-01-13 11:47:19,2015-01-13,0,2015,1,13,11:47:19,3,0,0
5,2015-01-14 11:47:19,2015-01-14,0,2015,1,14,11:47:19,3,0,0
6,2015-01-15 11:47:19,2015-01-15,0,2015,1,15,11:47:19,3,0,0
7,2015-01-16 11:47:19,2015-01-16,0,2015,1,16,11:47:19,3,0,0
8,2015-01-17 11:47:19,2015-01-17,0,2015,1,17,11:47:19,3,0,0
9,2015-01-18 11:47:19,2015-01-18,0,2015,1,18,11:47:19,3,0,0
10,2015-01-19 11:47:19,2015-01-19,0,2015,1,19,11:47:19,4,0,0
11,2015-01-20 11:47:19,2015-01-20,0,2015,1,20,11:47:19,4,0,0
12,2015-01-21 11:47:19,2015-01-21,0,2015,1,21,11:47:19,4,0,0
13,2015-01-22 11:47:19,2015-01-22,0,2015,1,22,11:47:19,4,0,0
14,2015-01-23 11:47:19,2015-01-23,0,2015,1,23,11:47:19,4,0,0
15,2015-01-24 11:47:19,2015-01-24,0,2015,1,24,11:47:19,4,0,0
16,2015-01-25 11:47:19,2015-01-25,0,2015,1,25,11:47:19,4,0,0
17,2015-01-26 11:47:19,2015-01-26,1,2015,1,26,11:47:19,5,2,1
18,2015-01-27 11:47:19,2015-01-27,0,2015,1,27,11:47:19,5,0,0
19,2015-01-28 11:47:19,2015-01-28,0,2015,1,28,11:47:19,5,0,0
20,2015-01-29 11:47:19,2015-01-29,0,2015,1,29,11:47:19,5,0,0
21,2015-01-30 11:47:19,2015-01-30,0,2015,1,30,11:47:19,5,0,0
22,2015-01-31 11:47:19,2015-01-31,0,2015,1,31,11:47:19,5,0,0
23,2015-02-01 11:47:19,2015-02-01,0,2015,2,1,11:47:19,5,0,0
24,2015-02-02 11:47:19,2015-02-02,0,2015,2,2,11:47:19,6,0,0
25,2015-02-03 11:47:19,2015-02-03,0,2015,2,3,11:47:19,6,0,0
26,2015-02-04 11:47:19,2015-02-04,1,2015,2,4,11:47:19,6,2,1
27,2015-02-05 11:47:19,2015-02-05,3,2015,2,5,11:47:19,6,3,3
28,2015-02-06 11:47:19,2015-02-06,3,2015,2,6,11:47:19,6,2,3
29,2015-02-07 11:47:19,2015-02-07,2,2015,2,7,11:47:19,6,2,2
30,2015-02-08 11:47:19,2015-02-08,2,2015,2,8,11:47:19,6,2,2
31,2015-02-09 11:47:19,2015-02-09,2,2015,2,9,11:47:19,7,1,2
32,2015-02-10 11:47:19,2015-02-10,2,2015,2,10,11:47:19,7,1,2
33,2015-02-11 11:47:19,2015-02-11,3,2015,2,11,11:47:19,7,2,3
34,2015-02-12 11:47:19,2015-02-12,0,2015,2,12,11:47:19,7,0,0
35,2015-02-13 11:47:19,2015-02-13,0,2015,2,13,11:47:19,7,0,0
36,2015-02-14 11:47:19,2015-02-14,3,2015,2,14,11:47:19,7,2,3
37,2015-02-15 11:47:19,2015-02-15,3,2015,2,15,11:47:19,7,2,3
38,2015-02-16 11:47:19,2015-02-16,0,2015,2,16,11:47:19,8,0,0
39,2015-02-17 11:47:19,2015-02-17,0,2015,2,17,11:47:19,8,0,0
40,2015-02-18 11:47:19,2015-02-18,0,2015,2,18,11:47:19,8,0,0
41,2015-02-19 11:47:19,2015-02-19,0,2015,2,19,11:47:19,8,0,0
42,2015-02-20 11:47:19,2015-02-20,0,2015,2,20,11:47:19,8,0,0
43,2015-02-21 11:47:19,2015-02-21,2,2015,2,21,11:47:19,8,1,2
44,2015-02-22 11:47:19,2015-02-22,2,2015,2,22,11:47:19,8,1,2
45,2015-02-23 11:47:19,2015-02-23,0,2015,2,23,11:47:19,9,0,0
46,2015-02-24 11:47:19,2015-02-24,0,2015,2,24,11:47:19,9,0,0
47,2015-02-25 11:47:19,2015-02-25,0,2015,2,25,11:47:19,9,0,0
48,2015-02-26 11:47:19,2015-02-26,1,2015,2,26,11:47:19,9,2,1
49,2015-02-27 11:47:19,2015-02-27,0,2015,2,27,11:47:19,9,0,0
50,2015-02-28 11:47:19,2015-02-28,0,2015,2,28,11:47:19,9,0,0
51,2015-03-01 11:47:19,2015-03-01,0,2015,3,1,11:47:19,9,0,0
52,2015-03-02 11:47:19,2015-03-02,0,2015,3,2,11:47:19,10,0,0
53,2015-03-03 11:47:19,2015-03-03,0,2015,3,3,11:47:19,10,0,0
54,2015-03-04 11:47:19,2015-03-04,0,2015,3,4,11:47:19,10,0,0
55,2015-03-05 11:47:19,2015-03-05,0,2015,3,5,11:47:19,10,0,0
56,2015-03-06 11:47:19,2015-03-06,0,2015,3,6,11:47:19,10,0,0
57,2015-03-07 11:47:19,2015-03-07,0,2015,3,7,11:47:19,10,0,0
58,2015-03-08 11:47:19,2015-03-08,0,2015,3,8,11:47:19,10,0,0
59,2015-03-09 11:47:19,2015-03-09,0,2015,3,9,11:47:19,11,0,0
60,2015-03-10 11:47:19,2015-03-10,0,2015,3,10,11:47:19,11,0,0
61,2015-03-11 11:47:19,2015-03-11,0,2015,3,11,11:47:19,11,0,0
62,2015-03-12 11:47:19,2015-03-12,0,2015,3,12,11:47:19,11,0,0
