Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.9,84.7,85.3,85.4,86,85.5,84.2,84.4,91.2298736572266,..
South Africa,ZAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,67.9479513025107,73.4153538360434,76.9677349855104,76.7877506747487,77.6295638901199,75.3635314242526,70.7157223672873,70.3145301045502,89.5988191888486,..
South Africa,ZAF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.9796600341797,91.4,90.1366958618164,90.2880554199219,90.6449203491211,90.9994735717773,91.3525009155273,91.7047653198242,92.0568923950195,..
South Africa,ZAF,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,70.3840291095049,69.1040425801546,68.0762343937796,66.4721723518851,67.480622813636,..,..,..,..,..
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,94.2606215516973,93.8041267297439,94.6315017280405,93.7438781636071,93.1018034160283,92.7112379223137,..,..,..,..
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.82369626881955,0.792446142940796,0.472710297238666,0.457755379316882,0.390826989910651,0.324638479994812,..,..,..,..
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0,0,0,0,0,0,..,..,..,..
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,4.71423895763848,5.20155946620643,4.68944306488881,5.5712660747575,5.52929999879746,..,..,..,..,..
South Africa,ZAF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0767588292135532,0.0758929947298672,0.0761043964019097,0.0758317798350659,0.0757603088134493,0.074168341871474,..,..,..,..
South Africa,ZAF,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,94.3373803809108,93.8800197244738,94.7076061244424,93.8197099434421,93.1775637248418,92.7854062641852,..,..,..,..
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.124684392631152,0.125974666379018,0.130240513430072,0.151268602483491,0.902309286450128,1.93040334608651,..,..,..,..
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,320000000,327000000,332000000,383000000,2251000000,4763000000,..,..,..,..
South Africa,ZAF,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.948380661450703,0.918420809319814,0.602950810668738,0.609023981800373,1.29313627636078,2.25504182608132,..,..,..,..
South Africa,ZAF,Time required to get electricity (days),IC.ELC.TIME,214,226,226,226,226,84,109,109,109,109
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,40.0814947326575,40.228632669465,41.2564151302034,41.8114859819428,42.7115490685173,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1.76278529647695,1.85055097900501,1.80056495805696,1.76821945373208,2.21638111952312,2.32835377541576,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,5.42442613336962,5.3654358936882,5.38112706296592,5.66116221134416,4.76587016727404,4.39015575588776,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,66.2885205471862,63.7460078522144,63.0581178085971,59.3748809074594,62.5687047312598,66.6757058241888,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0.0499942308439061,0.271348194968277,0.643632447487071,0.606291678890835,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,23.3703000839729,25.9259073252458,26.6373722915421,28.7440078066048,24.9355077701963,20.3869729208324,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.421605927636,91.5224661564652,91.4960550581962,89.8871081677963,89.7205936209792,89.391032520437,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.422351981186384,0.428085157073202,0.391522977580108,0.542259629097115,0.618222284378848,0.669823993655878,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2688000000,2800000000,2665000000,3830000000,4560000000,5056000000,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,5.88308485438056,5.82877634920237,5.80779092038977,6.24201228286694,5.40457187805121,5.09202005771151,..,..,..,..
Middle East & North Africa (excluding high income),MNA,Time required to get electricity (days),IC.ELC.TIME,80.1666666666667,75.5833333333333,84.6153846153846,86.3076923076923,88.8461538461538,85,81.8333333333333,81.8333333333333,73.4166666666667,72.3333333333333
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.8,13.1532945632935,15.9743528366089,18.5549392700195,21.1823444366455,24.1092948913574,27.0880069732666,29.8344898223877,32.4203987121582,..
Central African Republic,CAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.184799749266833,2.7171276164314,4.76499971919097,6.57623125538168,8.44079749785899,10.6039844582391,12.7826732105257,14.6610839188285,16.318600945685,..
Central African Republic,CAF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,24.9,29.3842239379883,33.223804473877,36.7774505615234,40.3273429870605,44.1350593566895,48.0018653869629,51.6874580383301,55.2456855773926,..
Central African Republic,CAF,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..
