Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,"Population, total",SP.POP.TOTL,36800509,44967708,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,58558270,..
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,2.39376838817431,1.40902882442672,1.5253140838922,1.58310713698288,1.60575169931034,1.58316828741381,1.5289263067937,1.4648292142325,1.40774075042753,1.35769728766652,1.33861739063304,..
South Africa,ZAF,Surface area (sq. km),AG.SRF.TOTL.K2,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,..,..
South Africa,ZAF,Population density (people per sq. km of land area),EN.POP.DNST,30.3361737381398,37.0687319160161,42.8691787089169,43.5532441945775,44.2582462966474,44.9645046946228,45.6572612089787,46.3309845106299,46.987817062213,47.6301197767684,..,..
South Africa,ZAF,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,55.5,..,..,..,..,..,..
South Africa,ZAF,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,35,..,..,..,18.9,..,..,..,..,..,..
South Africa,ZAF,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,105184396532.623,138035402299.282,363409170946.957,399731492789.012,394406682360.594,368462469620.394,335223128367.519,307382400569.791,308438648536.93,332317844014.903,353529193704.067,..
South Africa,ZAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2860,3070,6990,7570,7350,6760,6050,5470,5410,5750,6040,..
South Africa,ZAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,227565536232.518,338847762431.791,616821696796.998,619739350156.296,650936442976.243,664730482950.131,677999059197.49,688184240521.716,702384466248.083,723410417860.139,739743880215.4,..
South Africa,ZAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6180,7540,11860,11730,12120,12190,12240,12240,12320,12520,12630,..
South Africa,ZAF,Income share held by lowest 20%,SI.DST.FRST.20,..,3.1,..,..,..,2.4,..,..,..,..,..,..
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.307,56.048,58.895,60.06,61.099,61.968,62.649,63.153,63.538,63.857,..,..
South Africa,ZAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.964,2.694,2.582,2.561,2.537,2.511,2.484,2.457,2.43,2.405,..,..
South Africa,ZAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,96.2902,70.2842,71.0324,71.976,71.1624,70.3488,69.5352,68.7216,67.908,67.8488,..,..
South Africa,ZAF,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,57,..,..,..,..,..,..,54.6,..,..,..,..
South Africa,ZAF,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,96.7,..,..,..,..
South Africa,ZAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,57.3,71.1,44.8,40.9,39.2,38.1,37.1,36.2,35.6,35,34.5,..
South Africa,ZAF,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,8.5,..,..,..,5.9,..,..,..,..
South Africa,ZAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,79,72,77,79,78,84,86,85,70,70,72,..
South Africa,ZAF,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,81.04225,..,..,..,..,90.11049,87.25533,..,..,..,..
South Africa,ZAF,"School enrollment, primary (% gross)",SE.PRM.ENRR,104.80574,101.48921,103.41839,103.2292,102.6704,102.70496,105.57039,103.18496,100.86473,..,..,..
South Africa,ZAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,68.88434,81.033,96.18246,98.82686,..,107.80412,109.44408,107.17695,104.69798,..,..,..
South Africa,ZAF,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.04732,1.01217,0.99808,0.9982,..,1.01611,0.95531,1.01781,1.01267,..,..,..
South Africa,ZAF,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.7,12.6,18.5,18.8,19,19.2,19.3,19.3,19.3,19.2,19,..
South Africa,ZAF,Forest area (sq. km),AG.LND.FRST.K2,92410,92410,92410,92410,92410,92410,92410,92410,..,..,..,..
South Africa,ZAF,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,12.9850092764781,10.2606485926041,10.2606485926041,..,..
South Africa,ZAF,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,34.5982142857143,..,..,..,..,..,..
South Africa,ZAF,Urban population growth (annual %),SP.URB.GROW,3.42138180857301,2.25632987944825,2.37036214889114,2.41791370286744,2.42580701913032,2.39344724651667,2.32806252306407,2.25304059059305,2.18371135391442,2.12166554916762,2.09081155863504,..
South Africa,ZAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2471.59798795174,2424.88156167532,2716.65959800302,2636.61755341091,2602.74325751255,2695.41647891226,..,..,..,..,..,..
South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.5135999885219,8.42082992088456,9.1794569866433,8.79499682070288,8.55333603555096,8.88232172736581,8.37665534191835,8.48065846394969,..,..,..,..
South Africa,ZAF,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4238.74571952252,4579.95324111249,4566.28748939604,4365.91925976462,4285.47726028361,4197.90704691753,..,..,..,..,..,..
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,115552349035.441,136361298082.061,416418874936.304,396332702639.496,366829390478.954,350904575292.317,317620522794.827,296357282715.109,349554116683.818,368288939768.322,351431649241.439,..
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.317785675763304,4.20000347551795,3.2841681423114,2.21335480848441,2.4852005003106,1.84699160365717,1.19373280124428,0.399087929556359,1.41451262585058,0.787055570495099,0.152583316664234,..
South Africa,ZAF,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,15.4771243073167,8.79630165727525,6.53223091289495,5.28277149390206,6.15525727535496,5.54700532577925,5.17061378564514,7.20634637892044,5.26745812194203,3.91653962575576,4.02122070549441,..
South Africa,ZAF,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.20709700940894,2.9947459855187,2.2854725377128,2.16947773706563,2.09775631128793,2.17470676059318,2.08875118398453,2.22405748028245,2.36123637312271,2.17601965079703,1.88454246284872,..
