DATE,PRENEL01ZAQ656N
1985-01-01,11072.6666666667
1985-04-01,11879.6666666667
1985-07-01,12485.3333333333
1985-10-01,11690.3333333333
1986-01-01,11374
1986-04-01,12283
1986-07-01,12802
1986-10-01,12005.6666666667
1987-01-01,11865
1987-04-01,12532
1987-07-01,13315.3333333333
1987-10-01,12487.3333333333
1988-01-01,12401
1988-04-01,12691.3333333333
1988-07-01,13909.6666666667
1988-10-01,13244
1989-01-01,12719
1989-04-01,13632
1989-07-01,14329
1989-10-01,13427
1990-01-01,13173
1990-04-01,13728.6666666667
1990-07-01,14443
1990-10-01,13783.3333333333
1991-01-01,13316.3333333333
1991-04-01,14325.6666666667
1991-07-01,14883.3333333333
1991-10-01,13580
1992-01-01,13368.6666666667
1992-04-01,14021.3333333333
1992-07-01,14728.3333333333
1992-10-01,13911.6666666667
1993-01-01,13798.3333333333
1993-04-01,14662.3333333333
1993-07-01,15402.6666666667
1993-10-01,14372
1994-01-01,14279
1994-04-01,15130
1994-07-01,16063
1994-10-01,15091.3333333333
1995-01-01,14935.3333333333
1995-04-01,15637.3333333333
1995-07-01,16218.6666666667
1995-10-01,15427
1996-01-01,15689.6666666667
1996-04-01,16621.6666666667
1996-07-01,17761.3333333333
1996-10-01,16624.6666666667
1997-01-01,16551.6666666667
1997-04-01,17923.6666666667
1997-07-01,18404.6666666667
1997-10-01,17240.6666666667
1998-01-01,16751
1998-04-01,17434.6666666667
1998-07-01,17670.3333333333
1998-10-01,16602
1999-01-01,16425.6666666667
1999-04-01,16796.3333333333
1999-07-01,17716
1999-10-01,16732.6666666667
2000-01-01,16656.3333333333
2000-04-01,17965.6666666667
2000-07-01,18277.3333333333
2000-10-01,17324
2001-01-01,16806.3333333333
2001-04-01,17427.3333333333
2001-07-01,18700.3333333333
2001-10-01,17099.3333333333
2002-01-01,16969.6666666667
2002-04-01,18639.3333333333
2002-07-01,19330.3333333333
2002-10-01,18585.6666666667
2003-01-01,18186.3333333333
2003-04-01,19441
2003-07-01,20543
2003-10-01,19906
2004-01-01,19487.6666666667
2004-04-01,20550
2004-07-01,21317.6666666667
2004-10-01,20179.6666666667
2005-01-01,19699.6666666667
2005-04-01,20591
2005-07-01,20930
2005-10-01,20420
2006-01-01,20206.6666666667
2006-04-01,21319.6666666667
2006-07-01,21889
2006-10-01,21184
2007-01-01,21018.6666666667
2007-04-01,22131
2007-07-01,22868.3333333333
2007-10-01,21808.3333333333
2008-01-01,21129
2008-04-01,21793.6666666667
2008-07-01,22463.3333333333
2008-10-01,20711
2009-01-01,19241.3333333333
2009-04-01,20776.6666666667
2009-07-01,22180.6666666667
2009-10-01,20987
2010-01-01,20910.6666666667
2010-04-01,21806.6666666667
2010-07-01,22120.6666666667
2010-10-01,21695.6666666667
2011-01-01,21234
2011-04-01,22307
2011-07-01,22349
2011-10-01,21622.6666666667
2012-01-01,21079
2012-04-01,21302.6666666667
2012-07-01,22338.6666666667
2012-10-01,21252.6666666667
2013-01-01,20647.6666666667
2013-04-01,21642
2013-07-01,22205.3333333333
2013-10-01,20884.0
2014-01-01,20681.6666666667
2014-04-01,21346.6666666667
2014-07-01,21978.0
2014-10-01,20915.3333333333
2015-01-01,20714.6666666667
2015-04-01,20882.0
2015-07-01,21197.0
2015-10-01,20589.0
2016-01-01,20469.3333333333
2016-04-01,21064.0
2016-07-01,21761.6666666667
2016-10-01,20954.0
2017-01-01,20448.3333333333
2017-04-01,21558.6666666667
2017-07-01,21765.6666666667
2017-10-01,21262.0
2018-01-01,20823.0
2018-04-01,21483.6666666667
2018-07-01,21837.3333333333
