created_at,stage
9/7/2020 20:03:18,0
9/7/2020 14:00:22,2
9/7/2020 6:00:53,1
9/6/2020 18:16:14,0
9/6/2020 10:00:25,1
9/6/2020 6:00:50,2
9/5/2020 20:00:31,0
9/5/2020 6:00:18,2
9/4/2020 19:12:05,0
9/4/2020 6:01:47,3
9/3/2020 20:04:09,0
9/3/2020 6:00:35,4
9/2/2020 20:21:48,0
9/2/2020 13:00:13,4
9/2/2020 6:00:50,2
9/1/2020 20:00:23,0
9/1/2020 10:00:34,2
8/20/2020 20:00:04,0
8/20/2020 7:02:58,2
8/19/2020 20:00:55,0
8/19/2020 7:00:20,2
8/18/2020 19:56:07,0
8/18/2020 14:01:02,2
8/14/2020 19:31:25,0
8/14/2020 15:00:49,1
8/14/2020 5:59:58,2
8/13/2020 20:02:24,0
8/13/2020 5:55:23,2
7/16/2020 19:15:17,0
7/16/2020 12:00:23,2
7/16/2020 7:00:32,1
7/15/2020 19:50:37,0
7/15/2020 12:01:40,2
7/15/2020 7:00:28,1
7/14/2020 19:57:28,0
7/14/2020 7:03:33,2
7/13/2020 20:01:22,0
7/13/2020 7:00:26,2
7/12/2020 20:00:55,0
7/12/2020 18:00:42,1
7/12/2020 5:59:43,2
7/11/2020 20:34:30,0
7/11/2020 7:04:40,2
7/10/2020 20:16:19,0
7/10/2020 10:16:09,2
3/15/2020 12:00:56,0
3/15/2020 7:00:24,1
3/14/2020 23:00:39,0
3/14/2020 12:12:09,1
3/14/2020 7:02:55,2
3/13/2020 23:00:59,0
3/13/2020 14:41:59,3
3/11/2020 9:53:28,4
3/10/2020 22:59:58,2
3/10/2020 14:01:13,4
3/10/2020 9:00:02,2
3/10/2020 7:16:05,2
3/10/2020 5:00:38,0
3/9/2020 8:59:46,1
2/22/2020 17:00:21,0
2/20/2020 8:58:31,2
2/16/2020 21:00:02,0
2/16/2020 9:15:24,2
2/15/2020 8:58:37,3
2/14/2020 21:10:13,2
2/11/2020 21:00:53,0
2/11/2020 9:00:50,1
2/11/2020 6:00:08,0
2/10/2020 9:01:42,1
2/9/2020 20:53:57,0
2/4/2020 8:56:41,2
2/4/2020 6:00:08,0
2/3/2020 18:02:07,2
2/3/2020 16:01:11,0
2/3/2020 8:55:17,2
2/3/2020 6:36:18,0
1/31/2020 9:02:06,2
1/31/2020 6:01:23,0
1/30/2020 21:00:54,2
1/10/2020 22:57:22,0
1/10/2020 6:01:15,1
1/8/2020 20:57:43,2
1/8/2020 6:01:48,0
1/8/2020 0:59:18,2
1/5/2020 23:00:14,0
1/4/2020 21:56:40,2
12/13/2019 21:00:53,0
12/13/2019 15:59:55,1
12/13/2019 9:01:03,2
12/12/2019 22:55:46,1
12/11/2019 9:50:05,2
12/11/2019 9:40:00,0
12/10/2019 20:58:48,2
12/10/2019 20:00:29,3
12/9/2019 22:02:19,4
12/9/2019 18:06:17,6
12/9/2019 10:00:48,4
12/8/2019 9:00:06,2
12/7/2019 22:51:31,1
12/6/2019 23:01:37,2
12/6/2019 14:07:42,4
12/6/2019 9:02:14,2
12/6/2019 7:04:27,0
12/5/2019 16:00:38,2
11/8/2019 5:00:32,0
11/7/2019 22:00:29,2
10/19/2019 22:59:56,0
10/19/2019 8:58:02,1
10/18/2019 23:03:14,0
10/18/2019 12:00:38,2
10/18/2019 8:47:24,1
10/17/2019 23:01:04,0
10/17/2019 9:00:24,2
10/16/2019 23:00:12,0
10/16/2019 8:59:53,2
3/23/2019 22:31:35,0
3/23/2019 21:25:28,1
3/23/2019 9:13:23,2
3/22/2019 23:00:20,1
3/22/2019 8:59:35,2
3/21/2019 23:41:58,1
3/21/2019 8:59:19,4
3/20/2019 23:01:07,2
3/20/2019 8:55:24,4
3/19/2019 23:00:15,2
3/19/2019 9:00:31,4
3/19/2019 8:09:45,2
3/18/2019 9:00:17,4
3/17/2019 22:55:32,2
3/17/2019 7:37:32,4
3/16/2019 22:56:38,2
3/16/2019 12:23:41,4
3/16/2019 10:03:00,3
3/16/2019 8:02:42,2
