,"population, total",population growth (annual %),surface area (sq. km),population density (people per sq. km of land area),poverty headcount ratio at national poverty lines (% of population),poverty headcount ratio at $1.90 a day (2011 ppp) (% of population),"gni, atlas method (current us$)","gni per capita, atlas method (current us$)","gni, ppp (current international $)","gni per capita, ppp (current international $)",income share held by lowest 20%,"life expectancy at birth, total (years)","fertility rate, total (births per woman)","adolescent fertility rate (births per 1,000 women ages 15-19)","contraceptive prevalence, any methods (% of women ages 15-49)",births attended by skilled health staff (% of total),"mortality rate, under-5 (per 1,000 live births)","prevalence of underweight, weight for age (% of children under 5)","immunization, measles (% of children ages 12-23 months)","primary completion rate, total (% of relevant age group)","school enrollment, primary (% gross)","school enrollment, secondary (% gross)","school enrollment, primary and secondary (gross), gender parity index (gpi)","prevalence of hiv, total (% of population ages 15-49)",forest area (sq. km),terrestrial and marine protected areas (% of total territorial area),"annual freshwater withdrawals, total (% of internal resources)",urban population growth (annual %),energy use (kg of oil equivalent per capita),co2 emissions (metric tons per capita),electric power consumption (kwh per capita),gdp (current us$),gdp growth (annual %),"inflation, gdp deflator (annual %)","agriculture, forestry, and fishing, value added (% of gdp)","industry (including construction), value added (% of gdp)",exports of goods and services (% of gdp),imports of goods and services (% of gdp),gross capital formation (% of gdp),"revenue, excluding grants (% of gdp)",time required to start a business (days),domestic credit provided by financial sector (% of gdp),tax revenue (% of gdp),military expenditure (% of gdp),mobile cellular subscriptions (per 100 people),high-technology exports (% of manufactured exports),statistical capacity score (overall average),merchandise trade (% of gdp),net barter terms of trade index (2000 = 100),"external debt stocks, total (dod, current us$)","total debt service (% of exports of goods, services and primary income)",net migration,"personal remittances, received (current us$)","foreign direct investment, net inflows (bop, current us$)",net official development assistance and official aid received (current us$)
1990,36800509,2.39376838817431,1219090,3018.6868073727123,,,105184396532.623,2860,227565536232.518,6180,,63.307,3.964,96.2902,57,,57.3,,79,,104.80574,68.88434,1.04732,0.7,92410,,,3.42138180857301,2471.59798795174,8.5135999885219,4238.74571952252,115552349035.441,-0.317785675763304,15.4771243073167,4.20709700940894,36.4068755832505,23.4949209120617,18.1877172033408,19.4132541283268,25.4783908807209,,94.8063825588435,23.1119406230036,3.89635147817926,0.015434569,,,36.302161185087,104.3478261,0,,,135594375.6,-75722412.1197068,
2000,44967708,1.40902882442672,1219090,3688.6290593803574,,35,138035402299.282,3070,338847762431.791,7540,3.1,56.048,2.694,70.2842,,,71.1,,72,81.04225,101.48921,81.033,1.01217,12.6,92410,,,2.25632987944825,2424.88156167532,8.42082992088456,4579.95324111249,136361298082.061,4.20000347551795,8.79630165727525,2.9947459855187,29.0657322439249,27.1588800453122,24.2788939094856,16.3653251951763,25.6737650107152,,148.565356051416,23.3436856721377,1.38728913141799,18.54441859,,,43.7646171159842,100,25435195381.5,9.86836620261002,,324663747.14919,968831355.959091,490010009.765625
2011,52004172,1.5253140838922,1219090,4265.818930513744,,,363409170946.957,6990,616821696796.998,11860,,58.895,2.582,71.0324,,,44.8,,77,,103.41839,96.18246,0.99808,18.5,92410,,,2.37036214889114,2716.65959800302,9.1794569866433,4566.28748939604,416418874936.304,3.2841681423114,6.53223091289495,2.2854725377128,26.9425399457188,30.4609405932431,29.6516893103102,19.7209480764517,28.1978995584604,45,171.536395018741,25.1798227456576,1.10325767555138,123.0680361,6.05911759399006,81.1111111111111,56.0121104106237,146.2948344,116929482061.5,4.76082546229548,,1158421806.40696,4139289122.68737,1396969970.70313
2012,52834005,1.58310713698288,1219090,4333.888802303358,,,399731492789.012,7570,619739350156.296,11730,,60.06,2.561,71.976,,,40.9,8.5,79,,103.2292,98.82686,0.9982,18.8,92410,,,2.41791370286744,2636.61755341091,8.79499682070288,4365.91925976462,396332702639.496,2.21335480848441,5.28277149390206,2.16947773706563,26.6810604686634,29.7238793583952,31.1758200766426,19.9659850439053,28.4572683123003,45,181.182057660785,25.5881318576991,1.1327931119157,129.4540207,6.63105522622976,72.2222222222222,57.2145569845294,145.2396744,144958641901.3,7.8619433062018,919697,1084534306.3063,4626029122.40007,1065829956.05469
2013,53689236,1.60575169931034,1219090,4404.042031351254,,,394406682360.594,7350,650936442976.243,12120,,61.099,2.537,71.1624,,,39.2,,78,,102.6704,,,19,92410,,,2.42580701913032,2602.74325751255,8.55333603555096,4285.47726028361,366829390478.954,2.4852005003106,6.15525727535496,2.09775631128793,26.6680915375127,30.9713411232732,33.270418695468,21.1635569464482,29.4770839011187,45,181.914161852282,26.0439096125552,1.12327426203249,143.1726577,6.50182168422364,76.6666666666667,60.6502657024055,137.5087277,139789840171.8,10.608075455883,,970655337.203887,8232518815.62083,1295339965.82031
2014,54545991,1.58316828741381,1219090,4474.320271678055,55.5,18.9,368462469620.394,6760,664730482950.131,12190,2.4,61.968,2.511,70.3488,,,38.1,,84,,102.70496,107.80412,1.01611,19.2,92410,,34.5982142857143,2.39344724651667,2695.41647891226,8.88232172736581,4197.90704691753,350904575292.317,1.84699160365717,5.54700532577925,2.17470676059318,26.5451352956164,31.4686452082634,32.9658559048795,20.4994935066775,30.9975911087988,46,185.065133563794,26.541192010495,1.10943788284507,145.3513872,6.64166829184591,74.4444444444444,61.2682236533686,135.833052,141598627952.5,6.61051504455502,,913403103.749989,5791659020.09998,1077400024.41406
2015,55386367,1.5289263067937,1219090,4543.254968870223,,,335223128367.519,6050,677999059197.49,12240,,62.649,2.484,69.5352,,,37.1,,86,90.11049,105.57039,109.44408,0.95531,19.3,92410,,,2.32806252306407,,8.37665534191835,,317620522794.827,1.19373280124428,5.17061378564514,2.08875118398453,26.0283751337075,30.152888329641,31.4641851470314,20.9179571563037,31.7089750031984,46,176.474147151874,27.3427766000113,1.09918207478519,158.8829468,6.96500639244376,81.1111,58.4511977898626,139.8581679,138077504039.7,8.83214578073931,,825253479.870489,1521139945.30532,1420270019.53125
2016,56203654,1.4648292142325,1219090,4610.295712375624,,,307382400569.791,5470,688184240521.716,12240,,63.153,2.457,68.7216,54.6,96.7,36.2,5.9,85,87.25533,103.18496,107.17695,1.01781,19.3,92410,12.9850092764781,,2.25304059059305,,8.48065846394969,,296357282715.109,0.399087929556359,7.20634637892044,2.22405748028245,26.2474249035342,30.5809279982382,30.057260051479,19.1609658963171,31.2332406339527,45,176.048392625734,27.1094948411699,1.07552955178529,146.6221873,6.24187077517038,82.2222333333333,56.6566134166541,144.9751805,146040978446.9,14.3513623164768,,755434048.949775,2215307020.39541,1180280029.29688
2017,57000451,1.40774075042753,1219090,4675.655694001263,,,308438648536.93,5410,702384466248.083,12320,,63.538,2.43,67.908,,,35.6,,70,,100.86473,104.69798,1.01267,19.3,,10.2606485926041,,2.18371135391442,,,,349554116683.818,1.41451262585058,5.26745812194203,2.36123637312271,26.2931391086302,29.6276693701772,28.3462255610144,18.8062134542037,31.0242048686138,45,180.326730534376,26.9488765400796,1.04366339589233,155.2323957,5.21583600110024,75.5555666666667,54.50457909278,151.2658447,180496789079.4,13.4293910799481,727026,873861160.607838,2058579911.05235,1014809997.55859
2018,57779622,1.35769728766652,1219090,4739.569843079674,,,332317844014.903,5750,723410417860.139,12520,,63.857,2.405,67.8488,,,35,,70,,,,,19.2,,10.2606485926041,,2.12166554916762,,,,368288939768.322,0.787055570495099,3.91653962575576,2.17601965079703,25.853490193375,29.9070826047072,29.5632511055317,17.9403799709432,31.60818628509,40,170.957453374218,27.4652179666128,0.981709721430103,159.9306644,5.31969377781065,75.5555666666667,56.4616466980543,146.4963701,179306413801.8,19.9299392843026,,929043381.126846,5569462350.15205,914809997.558594
