stage,trend,yhat
0,21029.437290844795,21696.510457588425
2,21029.260551760475,21703.854041262504
2,21029.083812676152,21710.831685032554
2,21028.90707359183,21717.366565209228
0,21028.730334507505,21723.382831420804
0,21028.553595423185,21728.806918171053
0,21028.376856338866,21733.568830366265
0,21028.200117254542,21737.60337528967
0,21028.023378170223,21740.851314600564
0,21027.8466390859,21743.26041165769
0,21027.669900001576,21744.786351769602
0,21027.493160917256,21745.393515803433
0,21027.316421832933,21745.05559086925
0,21027.139682748613,21743.75600545983
0,21026.96294366429,21741.488180375112
0,21026.786204579967,21738.255590902896
0,21026.609465495647,21734.071639958413
0,21026.432726411327,21728.959346106156
0,21026.255987327004,21722.95085449228
0,21026.07924824268,21716.086782608985
0,21025.902509158357,21708.415416398886
0,21025.725770074037,21699.99177540195
0,21025.549030989718,21690.87656837759
0,21025.372291905394,21681.13506303371
0,21025.195552821075,21670.835895117252
0,21025.01881373675,21660.049843128814
0,21024.842074652428,21648.848595301813
0,21024.66533556811,21637.303535228923
0,21024.488596483785,21625.48457163821
0,21024.311857399465,21613.459036348737
0,21024.135118315142,21601.290672410585
0,21023.95837923082,21589.038731916102
0,21023.7816401465,21576.75720002387
0,21023.60490106218,21564.494158445064
0,21023.428161977856,21552.291298087308
0,21023.251422893532,21540.18358682729
0,21023.07468380921,21528.19909458527
0,21022.89794472489,21516.358974098057
0,21022.72120564057,21504.677592124797
0,21022.544466556246,21493.162802365474
0,21022.367727471923,21481.816348205324
0,21022.190988387603,21470.634380596686
0,21022.01424930328,21459.60807401781
0,21021.83751021896,21448.724321558315
0,21021.660771134637,21437.966488812715
0,21021.484032050317,21427.3152054429
0,21021.307292965994,21416.749173009062
0,21021.13055388167,21406.245967961604
0,21020.95381479735,21395.78281951682
0,21020.77707571303,21385.33734347469
0,21020.600336628708,21374.888214833973
0,21020.423597544384,21364.41576426045
0,21020.24685846006,21353.90248600467
0,21020.07011937574,21343.333447671008
0,21019.89338029142,21332.696595232275
0,21019.7166412071,21321.98294977663
0,21019.539902122775,21311.186695587076
0,21019.363163038455,21300.305162199056
0,21019.186423954132,21289.338705980783
0,21019.009684869812,21278.290499457944
0,21018.83294578549,21267.166238990136
0,21018.65620670117,21255.97378344178
0,21018.479467616846,21244.72273812526
0,21018.302728532522,21233.423999492094
0,21018.125989448203,21222.089276783612
0,21017.949250363883,21210.73060711104
0,21017.77251127956,21199.359880221553
0,21017.595772195236,21187.98838853041
0,21017.419033110913,21176.626416889663
0,21017.242294026593,21165.28288505567
0,21017.065554942274,21153.965053960856
0,21016.88881585795,21142.678304746707
0,21016.712076773627,21131.42599713537
0,21016.535337689307,21120.209411182273
0,21016.358598604984,21109.02777382951
0,21016.181859520664,21097.87836904565
0,21016.00512043634,21086.75672776807
0,21015.82838135202,21075.656891426785
0,21015.651642267698,21064.571740594478
0,21015.474903183374,21053.49337833276
0,21015.298164099055,21042.413556147134
0,21015.121425014735,21031.324129162273
0,21014.94468593041,21020.217526219727
0,21014.76794684609,21009.087220105743
0,21014.591207761765,20997.928183046595
0,21014.414468677445,20986.73731296126
0,21014.237729593126,20975.513816726256
0,21014.060990508802,20964.25953785944
0,21013.88425142448,20952.979217533866
0,21013.70751234016,20941.68067964879
0,21013.530773255836,20930.374932759263
0,21013.354034171516,20919.0761839392
0,21013.177295087193,20907.801762066392
0,21013.000556002873,20896.57195050198
0,21012.82381691855,20885.40973162374
0,21012.647077834226,20874.340448098934
0,21012.470338749907,20863.391388077904
0,21012.293599665583,20852.59130359849
0,21012.116860581264,20841.96987335266
0,21011.94012149694,20831.557122537786
0,21011.763382412617,20821.382813750908
0,21011.586643328297,20811.475823754095
0,21011.409904243974,20801.86352142566
0,21011.233165159654,20792.571162298238
0,21011.05642607533,20783.621314774315
0,21010.87968699101,20775.03333241133
0,21010.702947906688,20766.82288560237
0,21010.526208822364,20759.001564571627
0,21010.349469738045,20751.576563898576
0,21010.172730653725,20744.55045682215
0,21009.9959915694,20737.921065409835
0,21009.81925248508,20731.681430362336
0,21009.642513400755,20725.819881822485
0,21009.465774316435,20720.320210125785
0,21009.289035232116,20715.161933034913
0,21009.112296147792,20710.320653698433
0,21008.93555706347,20705.768501420334
0,21008.758817979146,20701.474645379483
0,21008.582078894826,20697.405869736784
0,21008.405339810506,20693.527197156844
0,21008.228600726183,20689.802546680752
0,21008.051861641863,20686.195411141263
